Fund_name,Year,ms,lag_mr,performance,lag_perf,FUM,over_50,female,Average.fees,Fund_type,Cost.ratio
Commonwealth Life Superannuation Mastertrust,2004,0.122316674637155,NA,-1.66918138041734,NA,854502,13.8931109242271,45.4976815239447,NA,Retail,0.587822150248057
Concept One Superannuation Plan,2004,0.019927037984802,NA,0.130818619582664,NA,102064,NA,NA,NA,Industry,1.21846220914392
Connect Superannuation Plan,2004,0.100336071949682,NA,0.930818619582665,NA,363491,NA,NA,NA,Industry,0.788583833562203
Connelly Temple Public Superannuation Fund,2004,0.0418251839633716,NA,-0.869181380417336,NA,1133269,16.0812138235605,54.9833172323654,NA,Retail,2.1541879762041
Construction & Building Unions Superannuation,2004,1.63262516697729,NA,2.13081861958266,NA,5516137,16.5177932772308,7.92546876921571,NA,Industry,0.91636688534048
CQL Superannuation Fund,2004,0.000777448969653359,NA,17.1308186195827,NA,996,NA,NA,NA,Corporate,2.30061349693252
Crane Group Retirement Fund,2004,0.00926263696672866,NA,-0.0691813804173353,NA,41011,NA,NA,NA,Corporate,0.697454432506459
CSL Superannuation Plan,2004,0.0272244567226847,NA,3.23081861958266,NA,74284,NA,NA,NA,Corporate,0.675196805389381
CSS Fund,2004,4.69433700477065,NA,2.03081861958266,NA,5760330,84.739583982452,38.8555155352269,NA,Public Sector,0.276935053094204
Cuesuper,2004,0.0370642906517317,NA,1.43081861958266,NA,185410,NA,NA,NA,Industry,1.05083568613833
Cummins Superannuation Fund NO 1,2004,0.00643358654937893,NA,2.23081861958266,NA,53031,NA,NA,NA,Corporate,0.926665601533791
Davis Langdon Australia Staff Superannuation Fund,2004,0.000734257360228173,NA,-0.669181380417337,NA,5929,NA,NA,NA,Corporate,1.7742820559722
Degussa Australia Pty Limited (1983) Superannuation Plan,2004,0.00074996340001915,NA,-1.96918138041734,NA,2751,NA,NA,NA,Corporate,0.924809006835545
Deloitte Superannuation Fund,2004,0.0162950162831386,NA,2.33081861958266,NA,46969,NA,NA,NA,Corporate,0.891328645604901
Deseret Benefit Plan for Australia,2004,0.00311764889850893,NA,0.0308186195826643,NA,23689,NA,NA,NA,Corporate,1.18668922729836
Deswal Retiring Allowance Fund,2004,8.2456708902629e-05,NA,-1.06918138041734,NA,3251,NA,NA,NA,Corporate,2.71478232080781
Diocese of Wagga Wagga Superannuation Fund,2004,0.000455475153938332,NA,1.43081861958266,NA,33873,NA,NA,NA,Corporate,0.515789985888765
Dow Australia Superannuation Fund,2004,0.00544214278757351,NA,2.63081861958266,NA,75292,NA,NA,NA,Corporate,0.741816299831798
Dya Investments Superannuation Fund,2004,0.000111905533510711,NA,-10.3691813804173,NA,427,NA,NA,NA,Corporate,1.02171136653895
Eaton Group Superannuation Plan,2004,0.00454689851948783,NA,1.73081861958266,NA,21238,NA,NA,NA,Corporate,1.45895681915348
EDI Group Superannuation Fund,2004,0.00790013801486141,NA,1.13081861958266,NA,50046,NA,NA,NA,Corporate,0.320868814019499
EDS (Australia) Superannuation Fund,2004,0.0830240895900781,NA,0.830818619582663,NA,334483,NA,NA,NA,Corporate,0.775643622829125
Elgas Employees Superannuation Fund,2004,0.00517906662107465,NA,2.03081861958266,NA,37168,NA,NA,NA,Corporate,0.876692587143844
Eli Lilly Australia Superannuation Fund,2004,0.000535968607867089,NA,1.33081861958266,NA,45248,NA,NA,NA,Corporate,1.02689125295508
Endeavour Foundation Staff Retirement Plan,2004,0.00392454669277037,NA,3.63081861958266,NA,28691,NA,NA,NA,Retail,1.4715164904529
Energy Industries Superannuation Scheme-Pool A,2004,0.169917754733658,NA,-0.969181380417336,NA,264944,NA,NA,NA,Public Sector,0.896186667535696
Energy Industries Superannuation Scheme-Pool B,2004,0.145530201448219,NA,2.43081861958266,NA,1407115,NA,NA,NA,Public Sector,0.741293373783342
Energy Super,2004,0.207398255439851,NA,2.43081861958266,NA,1671768,NA,NA,NA,Industry,0.491042244304553
Epicentre Trading Pty Ltd Superannuation Fund,2004,0.000402467269643784,NA,-0.969181380417336,NA,966,NA,NA,NA,Corporate,1.09622411693057
equipsuper,2004,1.10412674428578,NA,2.63081861958266,NA,2438059,NA,NA,NA,Industry,0.820738664798318
EquitySuper,2004,0.0692243703787309,NA,0.530818619582664,NA,174786,18.2623365668494,40.708561788275,NA,Retail,1.80129354637223
Estee Lauder Employees Superannuation Fund,2004,0.00317065678280347,NA,-0.469181380417336,NA,13492,NA,NA,NA,Corporate,2.52100840336134
eUnion Retirement Fund,2004,0.000162950162831386,NA,-8.96918138041734,NA,5088,NA,NA,NA,Retail,2.73167030257043
ExxonMobil Superannuation Plan,2004,0.0518476006049888,NA,0.430818619582665,NA,625768,NA,NA,NA,Corporate,1.69900917094549
Fal Superannuation Fund,2004,0.00309408983882246,NA,1.63081861958266,NA,27278,NA,NA,NA,Corporate,0.637615318708032
